pol_first_name,pol_middle_name,pol_last_name,pol_junior,photo_credit,polra_party,ra_number,pol_nat_id,polra_in_order,polra_number,pol_number,of_number,se_number,race_id,office_id,ra_num_winners,rt_number,rt_party_name,of_description,ot_number,ot_name,se_name,of_scope,race_order,el_date,ra_uncontested,ra_tabulate,st_postal,ra_national_b,ra_runoff_cands,pol_abbrv,incumbent,website,facebook,twitter,instagram,youtube,ballotpedia,currently,previously,sentence,photo_slug,race_to_watch,gg_link,gg_to_watch_link,wnyc_link,why_watch
Kimberly,,Jean-Pierre,,http://nyassembly.gov/mem/Kimberly-Jean-Pierre/bio/,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 11,L,7610,20160913,FALSE,TRUE,NY,FALSE,FALSE,JenPrra,TRUE,http://assembly.state.ny.us/mem/Kimberly-Jean-Pierre/map/,,,,N/A,https://ballotpedia.org/Kimberly_Jean-Pierre,"Assembly member, 11th District","Vice President of Properties, Town of Babylon's Industrial Development Agencey; District Community Outreach Coordinator, Congressmember Steve Israel","Elected to the Assembly in 2014. Sits on the Economic Development, Transportation, Banks, Mental Health and Local Government committees.",,,,,,
Jordan,,Wilson,,https://www.facebook.com/WilsonforAssembly11thAD/photos/a.1088249764556518.1073741825.1088246531223508/1088249774556517/?type=3&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 11,L,7610,20160913,FALSE,TRUE,NY,FALSE,FALSE,Wilson,FALSE,,,,,N/A,,Mental Health Counselor,,"Criticized opponent for taking $7,384 in paychecks from the Suffolk Democratic Committee for part time work this year. ",,,,,,
James,,Fischer,,,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 112,L,14430,20160913,FALSE,TRUE,NY,FALSE,FALSE,Fischer,FALSE,http://www.fischerforassembly.com/,https://www.facebook.com/JimforNYSAssembly/,,,n/a,,"Operates and owns a wireless communications business; Member, Ballston Planning Board",,"Wants to focus on ethics reform, repealing the SAFE Act and on gun control and Common Core. Ran unsuccessfully for Congress against Representative Paul Tonko in 2014.",,,,,,
Mary Beth,,Walsh,,https://www.facebook.com/marybethforassembly/photos/a.150383952041927.1073741828.138671593213163/183564388723883/?type=3&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 112,L,14430,20160913,FALSE,TRUE,NY,FALSE,FALSE,Walsh,FALSE,http://marybethwalsh2016.com/,https://www.facebook.com/marybethforassembly/,n/a,,https://www.youtube.com/channel/UC4y_LlxeMTW5b07rxQUXVHw,,Town of Edinburg Attorney,Councilwoman in the Town of Ballston; Saratoga Assistant County Attorney,A small business owner and held multiple offices on the local and county levels.,,,,,,
Christopher,,Boyark,,https://www.facebook.com/friendsofchrisboyark/photos/a.484057611799930.1073741829.394119677460391/512014459004245/?type=3&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 113,L,14500,20160913,FALSE,TRUE,NY,FALSE,FALSE,Boyark,FALSE,http://boyarkfornysassembly.com/,https://www.facebook.com/friendsofchrisboyark/,https://twitter.com/chrisboyark4ny,,,,Malta bar owner; jewelry store manager; Air Force veteran,Chair of the Mechanicville GOP,"Wants to focus on ethics reform, and improving water and Internet infrastructure upstate. Endorsed by Saratoga and Washington County Republican leaders.",,,,,,
Gerard,,Moser,,https://www.facebook.com/1530181340627047/photos/a.1530185870626594.1073741825.1530181340627047/1530185883959926/?type=1&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 113,L,14500,20160913,FALSE,TRUE,NY,FALSE,FALSE,Moser,FALSE,http://moserforassembly.com/,https://www.facebook.com/Gerard-Moser-for-Assembly-1530181340627047/,https://twitter.com/moser4assembly,,,,Hospitality management consultant; State pistol permit instructor,,Campaign focuses on ethics and government transparency. Supports a three-year tax credit for any business that adds employees.,,,,,,
John,,Byrne,,https://www.facebook.com/JohnByrneForAssembly/photos/a.726248494076783.1073741826.715518448483121/861156647252633/?type=1&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 116,L,14720,20160913,FALSE,TRUE,NY,FALSE,FALSE,Byrne,FALSE,,https://www.facebook.com/JohnByrneForAssembly?v=info&tab=page_info,https://twitter.com/johnbyrne2016,,,"https://ballotpedia.org/John_Byrne,_III",Business owner; Veteran,,Wants to replace Common Core. Lost in the general election for this seat by 90 votes two years ago.,,,,,,
Russell,,Finley,,https://ballotpedia.org/Russell_J._Finley,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 116,L,14720,20160913,FALSE,TRUE,NY,FALSE,FALSE,Finley,FALSE,,https://www.facebook.com/Russ-Finley-for-Assembly-654699124588109/,,,,https://ballotpedia.org/Russell_J._Finley,Beef farmer; real estate broker,,Has been an active protestor of the SAFE Act for gun control. Former member of the American bobsled team. ,,,,,,
William,,Sheridan,,,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 116,L,14720,20160913,FALSE,TRUE,NY,FALSE,FALSE,Sheridan,FALSE,http://www.billsheridanforassembly.com/,https://www.facebook.com/BillSheridanForAssembly/,,,,,Real estate broker and firm owner,"St. Lawrence County Legislator; Chair, Canton Republican Party; NYS Department of Corrections",Wants to work on supporting agribusiness and ethics reform.,,,,,,
Marc,,Butler,,http://nyassembly.gov/mem/Marc-W-Butler/bio/,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 118,L,14840,20160913,FALSE,TRUE,NY,FALSE,FALSE,Butler,TRUE,http://nyassembly.gov/mem/Marc-W-Butler/bio/,https://www.facebook.com/AssemblymanButler/,,,,https://ballotpedia.org/Marc_Butler,"Assembly member, 118th District",Herkimer County Legislator,"Elected to the Assembly in 1995. Favors a different approach for changes to the SAFE Act on gun control upstate and downstate, like the case for the minimum wage increase. The Ranking Minority on the Assembly Economic Development, Job Creation, Commerce and Industry Committee.",,,,,,
Patrick,,Vincent,,https://www.facebook.com/patrickvincentassembly/photos/a.1075475525806183.1073741825.1074887509198318/1075475532472849/?type=1&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 118,L,14840,20160913,FALSE,TRUE,NY,FALSE,FALSE,Vincent,FALSE,http://www.patrickvincentforassembly.com/,https://www.facebook.com/patrickvincentassembly/,,,,,Small business owner,Mayor of Cold Brook,First primary challenger to incumbent Butler in 21 years. Wants to work on ethics reform and repealing the SAFE Act on gun control. Endorsed by the Remington Arms Union workers and United Mine Workers of America Local 717,,,,,,
Michael,,Becallo,,https://www.facebook.com/MikeBecallo/photos/a.796302567107962.1073741828.796297760441776/986849441386606/?type=1&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 127,L,15450,20160913,FALSE,TRUE,NY,FALSE,FALSE,Becallo,FALSE,http://mikebecalloforassembly.com/,https://www.facebook.com/MikeBecallo/,,,,,Cicero Town Councilor,,Business owner in the health care industry.,,,,,,
Vincent,,Giordano,,https://www.facebook.com/vincegiordanofornysassembly/photos/a.814668908679105.1073741825.814667955345867/814668922012437/?type=1&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 127,L,15450,20160913,FALSE,TRUE,NY,FALSE,FALSE,Giordano,FALSE,http://www.vgiordanofornysassembly.org/,https://www.facebook.com/vincegiordanofornysassembly/,,,,,Manlius Town Councilor,,Ice cream parlor owner. ,,,,,,
Bill,,Nojay,,https://ballotpedia.org/Bill_Nojay,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 133,L,15840,20160913,FALSE,TRUE,NY,FALSE,FALSE,Nojay,TRUE,http://www.billnojay.com/,https://www.facebook.com/nojayforassembly,,,,https://ballotpedia.org/Bill_Nojay,State Assembly,,"Nojay died Friday September 9, just days before the primary. Rochester media reported he took his own life in a local cemetery.",,,,,,
Richard,,Milne,,,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 133,L,15840,20160913,FALSE,TRUE,NY,FALSE,FALSE,Milne,FALSE,http://www.milne4assembly.com/,https://www.facebook.com/Rick.Milne.For.State.Assembly,https://twitter.com/rmilnehf,,,,Mayor of Honeoye Falls,"President of the New York State Conference of Mayors, President of the Monroe County Association of Villages",,,,,,,
Peterson,,Vazquez,,http://www.vazquezforassembly.com/home.html,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 138,L,16180,20160913,FALSE,TRUE,NY,FALSE,FALSE,Vazquez,FALSE,http://petersonvazquez.com/,,,,,https://ballotpedia.org/Peterson_A._Vazquez,Disabled veteran and small business owner,Revenue Officer for the U.S. Department of Treasury,,,,,,,
Bob,,Zinck,,https://www.facebook.com/electbobzinck/photos/a.883009865142887.1073741827.883002395143634/921303187980221/?type=1&theater,GOP,,,,,,,,,,,,GOP,,,State Assembly,District 138,L,16180,20160913,FALSE,TRUE,NY,FALSE,FALSE,Zinck,FALSE,,https://www.facebook.com/electbobzinck/,,,,https://ballotpedia.org/Bob_Zinck,An owner of Lovin' Cup in Henrietta,"Director, Rochester-Monroe County Youth Bureau",Supported by the county Republican committee.,,,,,,
Harry,,Bronson,,http://www.bronsonforassembly.com/#!bronsonforassembly-1/cf5y,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 138,L,16170,20160913,FALSE,TRUE,NY,FALSE,FALSE,Bronson,TRUE,http://www.bronsonforassembly.com/,https://www.facebook.com/Assembly memberBronson,https://twitter.com/HarryBBronson,,,https://ballotpedia.org/Harry_Bronson,"Assembly member, 138th District",Partner at Blitman and King,Supported the increase on the minimum wage and the inclusion of paid sick leave. ,,,,,,
Rachel,,Barnhart,,https://twitter.com/rachbarnhart,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 138,L,16170,20160913,FALSE,TRUE,NY,FALSE,FALSE,Barnhart,FALSE,http://rachelforassembly.com/,https://www.facebook.com/Rochester.Rachel,https://twitter.com/rachbarnhart,,https://www.youtube.com/channel/UCroHzKC8b8J-cTluIYU8LXQ,,,Local television reporter,"Wants to focus on more local control of schools, legalizing marijuana and economic development. Opposes a bill that would require businesses to preserve jobs if they receive state grants.",,,,,,
Monica,,Wallace,,https://www.facebook.com/wallace143/photos/a.770552103088962.1073741825.770147116462794/799048523572653/?type=1&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 143,L,16520,20160913,FALSE,TRUE,NY,FALSE,FALSE,Wallace,FALSE,http://www.wallaceforassembly.com/,https://www.facebook.com/wallace143/,https://twitter.com/mwallace143,,,,Professor at SUNY Buffalo Law School,,Endorsed by the New York State United Teachers union.,,,,,,
Kristy,,Mazurek,,https://www.facebook.com/kristy.mazurek,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 143,L,16520,20160913,FALSE,TRUE,NY,FALSE,FALSE,Mazurek,FALSE,,https://www.facebook.com/Kristy-Mazurek-1020079554694911/,,,,,,"Local television journalist; Communications Director, former Assembly member Dennis Gabryszak","Was listed as executing power of attorney in a real estate sale for former Erie County Democratic Party chair Steve Pigeon, who will go to trial on corruption charges. ",,,,,,
Earlene,,Hooper,,https://ballotpedia.org/Earlene_Hill_Hooper,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 18,L,8170,20160913,FALSE,TRUE,NY,FALSE,FALSE,Hooper,TRUE,http://assembly.state.ny.us/mem/Earlene-Hooper/,,,,N/A,https://ballotpedia.org/Earlene_Hill_Hooper,"Assembly member, 18th District","Member, Executive Board of the Public Employees Federation","Elected in 1988 to the State Assembly. Focuses on education and affordable housing. Top state lawmaker in travel expenses in 2015. As Deputy Speaker, she is the highest-ranking woman in the State Assembly.",,,,,,
Carmen,,Pineyro,,,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 18,L,8170,20160913,FALSE,TRUE,NY,FALSE,FALSE,Pineyro,FALSE,http://www.pineyroforny.com/,https://www.facebook.com/carmenpineyroforny/info,,,https://www.youtube.com/channel/UCZv02GlhzlnLMcvb6Sn4Beg,,Freeport Village Trustee,"President, Freeport Board of Education",Immigrated with her family from the Dominican Republic to Freeport. Endorsed by IBEW Local 1049 electrical workers union and the Long Island Progressive Coalition. ,,,,,,
Jeffrey,W.,Toback,,https://www.facebook.com/546572785503370/photos/a.546573538836628.1073741825.546572785503370/546574725503176/?type=1&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 20,L,8340,20160913,FALSE,TRUE,NY,FALSE,FALSE,Toback,FALSE,http://www.jefftoback.com/,https://www.facebook.com/Jeff-Toback-For-Assembly-2016-546572785503370/,,,N/A,,Lawyer,Nassau County legislator (2000-2009),Was part of the Democratic-controlled Nassau County legislature when Nassau received increases in its bond rating. Wants to focus on ethics reform and tougher laws for drug dealers.,,,,,,
Anthony,,Eramo,,https://www.facebook.com/FriendsOfAnthonyEramo/photos/a.481963398553881.1073741825.481962151887339/738488486234703/?type=1&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 20,L,8340,20160913,FALSE,TRUE,NY,FALSE,FALSE,Eramo,FALSE,http://www.anthonyeramo.com/,https://www.facebook.com/FriendsOfAnthonyEramo,,,N/A,,"Long Beach City Council Member; Chief Steward, CWA Local 1106",Verizon Field Technician,"Endorsed by previous seatholder Todd Kaminsky who was elected to the State Senate, the Nassau County Democrats and the Working Families Party.",,,,,,
Alicia,,Hyndman,,http://assembly.state.ny.us/mem/Alicia-Hyndman/,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 29,L,8990,20160913,FALSE,TRUE,NY,FALSE,FALSE,Hyndman,TRUE,http://nyassembly.gov/mem/Alicia-Hyndman,https://www.facebook.com/alicialhyndman/,https://twitter.com/aliciahyndman,N/A,N/A,https://ballotpedia.org/Alicia_Hyndman,"Assembly member, New York's 29th Assembly District","Member, Boards of Education Committees, Community Board 12 and 13",Elected in 2015 after former Assembly member Scarborough plead guilty to corruption and resigned. Helped bring in $30 million in capital funding for school upgrades while serving on the Community District Education Council.,,,,,,
Lorraine,,Bridges,,,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 29,L,8990,20160913,FALSE,TRUE,NY,FALSE,FALSE,Bridges,FALSE,,https://www.facebook.com/Families-for-Lorraine-A-Gittens-Bridges-Candidate-for-NYS-Assembly-D29-1011691285575939/,N/A,N/A,N/A,N/A,,President of the PTA Presidents' Council of District 29,She is in human resources and is an education activist.,,,,,,
Linda,,Guillebeaux,,,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 29,L,8990,20160913,FALSE,TRUE,NY,FALSE,FALSE,Guillebx,FALSE,,N/A,N/A,N/A,N/A,N/A,Rosedale resident,,"Was outspoken about voting problems during the primaries in New York, and about how 126,000 voters were taken off the rolls (from the TimesLedger).",,,,,,
Margaret,,Markey,,http://nyassembly.gov/mem/Margaret-M-Markey/bio/,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 30,L,9040,20160913,FALSE,TRUE,NY,FALSE,FALSE,Markey,TRUE,http://nyassembly.gov/mem/Margaret-M-Markey,https://www.facebook.com/margaret.markey.71,,,N/A,https://ballotpedia.org/Margaret_Markey,"Assembly member, 30th District",,"Elected in 1998 to the Assembly. Suing De Blasio's administration with other Queens officials to stop the conversion of a hotel in Maspeth to a homeless shelter. She is Chair of the Tourism, Parks, Arts and Sports Development Committee.",,,,,,
Brian,,Barnwell,,https://twitter.com/barnwell2016,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 30,L,9040,20160913,FALSE,TRUE,NY,FALSE,FALSE,Barnwell,FALSE,,https://www.facebook.com/Barnwell4NY/,https://twitter.com/barnwell2016,,N/A,,"Director of Special Events, City Council member Costa Constantinides; Attorney",,"Woodside native who has been actively opposing the City's plan to convert a Maspeth hotel into a homeless shelter. Wants to focus on tenant issues, increasing the minimum wage while lowering taxes for businesses, and changes to teacher evaluations.",,,,,,
Michele,,Titus,,https://ballotpedia.org/Michele_Titus,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 31,L,9100,20160913,FALSE,TRUE,NY,FALSE,FALSE,Titus,TRUE,http://assembly.state.ny.us/mem/Michele-R-Titus,https://www.facebook.com/Assemblywoman-Michele-Titus-252807836581/,N/A,N/A,N/A,https://ballotpedia.org/Michele_Titus,"Assembly member, District 31","Attorney, New York City's Board of Education",Has served as the Assembly member for this district since 2002 with a focus on education and families. Also the chair of the New York State Association of Black and Puerto Rican Legislators.,,,,,,
Nigel,,Loncke,,https://www.facebook.com/photo.php?fbid=1442021882481448&set=a.160003064016676.41614.100000209513480&type=3&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 31,L,9100,20160913,FALSE,TRUE,NY,FALSE,FALSE,Loncke,FALSE,http://vote4loncke.nationbuilder.com/,https://www.facebook.com/Chaplainloncke/,https://twitter.com/lonckenigel,N/A,https://www.youtube.com/channel/UCj2qDkYpN31nL4OC1dRbbag,N/A,N/A,"Office Manager, Next-Gen",Worked for Gregory Meeks and President Obama's 2012 campaign.,,,,,,
Vivian,,Cook,,https://ballotpedia.org/Vivian_Cook,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 32,L,9160,20160913,FALSE,TRUE,NY,FALSE,FALSE,Cook,TRUE,http://assembly.state.ny.us/mem/Vivian-E-Cook/,,,,N/A,https://ballotpedia.org/Vivian_Cook,"Assembly member, District 32; Chair, Queens County Democratic Committee","Founder, Rockaway Boulevard Local Development Corporation","Elected to the Assembly in 1990. Has focused on affordable housing and building and parks projects. Ranked first among state legislators the first six months of this year in travel expenses. She chairs the Task Force on Food, Farm and Nutrition Policy.",,,,,,
Rodney,,Reid,,https://twitter.com/reid4assembly,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 32,L,9160,20160913,FALSE,TRUE,NY,FALSE,FALSE,Reid,FALSE,http://www.reid4assembly.com/news,https://www.facebook.com/Barnwell4NY/,,,N/A,,"Member, neighborhood advisory board; President, IS 8 Parent Teacher Association",Property Manager; director of foster care and independent living facilities,"Wants to focus on education, public safety, and economic development. ",,,,,,
Bryan,,Block,,https://www.facebook.com/bryanjblock/photos/a.1774259769475682.1073741826.1774259476142378/1786104164957909/?type=3&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 33,L,9210,20160913,FALSE,TRUE,NY,FALSE,FALSE,Block,FALSE,http://www.friendsforbryanblock.com/home.html,https://www.facebook.com/bryanjblock/,N/A,N/A,N/A,N/A,Senior Paralegal,,"First black chairperson for Community Board 13, and re-elected to continue serving while running for office.",,TRUE,,http://www.gothamgazette.com/index.php/state/6511-races-to-watch-in-state-legislative-primaries#RTWAD33,,Crowded open seat race in Queens.
Clyde,,Vanel,,https://www.facebook.com/photo.php?fbid=450290412332&set=a.427855152332.204076.591242332&type=3&theater,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 33,L,9210,20160913,FALSE,TRUE,NY,FALSE,FALSE,Vanel,FALSE,http://clydevanel.com/,https://www.facebook.com/clyde.vanel,N/A,N/A,https://www.youtube.com/channel/UCEMCIU8_FRxsr-F5PPEqzAw,https://ballotpedia.org/Clyde_Vanel,"Lawyer, businessman","Chief of Staff, District Office of Senator James Sanders Jr.","Vanel is a lawyer who specializes in business law, and he has also been a small business owner.",,TRUE,,http://www.gothamgazette.com/index.php/state/6511-races-to-watch-in-state-legislative-primaries#RTWAD33,,
Nantasha,,Williams,,http://www.williamsforassembly.com/#!about-nantasha/cjg9,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 33,L,9210,20160913,FALSE,TRUE,NY,FALSE,FALSE,Williams,FALSE,http://www.williamsforassembly.com/,https://www.facebook.com/williamsforassembly/,https://twitter.com/Williamsfor33AD,https://www.instagram.com/williamsforassembly/,N/A,N/A,,"Chief of Staff, Assembly member Diana Richardson; Interim Executive Director, New York State Black, Puerto Rican, Hispanic, and Asian Legislative Caucus",Cambria Heights native who was featured as one of City and State's 40 under 40 list of rising stars in state government.,,TRUE,,http://www.gothamgazette.com/index.php/state/6511-races-to-watch-in-state-legislative-primaries#RTWAD33,,
Roy,,Paul,,http://www.roy-paul.com/#!meet-roy/godat,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 33,L,9210,20160913,FALSE,TRUE,NY,FALSE,FALSE,Paul,FALSE,http://www.roy-paul.com/,https://www.facebook.com/RoyRPaul/,https://twitter.com/RoyPaulReports,https://www.instagram.com/RoyPaulReports/,https://www.youtube.com/channel/UCNbL7F_MSnIG-9O4zpp2rUw,N/A,Youth Commentator,"Board Member/Founder, South East Queens Young Democrats","Youngest African-American to be elected to a school board in New York State, at 19.",,TRUE,,http://www.gothamgazette.com/index.php/state/6511-races-to-watch-in-state-legislative-primaries#RTWAD33,,
Sabine,,French,,,Dem,,,,,,,,,,,,Dem,,,State Assembly,District 33,L,9210,20160913,FALSE,TRUE,NY,FALSE,FALSE,French,FALSE,,N/A,N/A,https://www.instagram.com/sabine_french/,https://www.youtube.com/watch?v=H-_QdEOjwqw,N/A,"Vice President, Haitian American Political Action Committee of NY",,Focusing her campaign on education issues.,,TRUE,,http://www.gothamgazette.com/index.php/state/6511-races-to-watch-in-state-legislative-primaries#RTWAD33,,
